site,total_feed_weight,total_biomass_variation,avg_feed_per_open_biomass,avg_biomass_growth_rate,avg_mortality_percent,avg_temperature,avg_density,total_records
Site_038,92833689.00,56913023.42,0.069052,0.058140,0.1478,11.34,7.52,17086
Site_059,85706240.32,64638315.85,0.068641,0.065641,0.1616,11.17,7.69,12021
Site_012,62291237.00,45380889.96,0.067100,0.062104,0.1812,11.10,6.89,10399
Site_027,50881250.61,36194231.73,0.067642,0.057494,0.3049,12.03,6.10,9927
Site_049,48557404.59,33210684.70,0.066339,0.057903,0.1559,11.88,6.60,9529
Site_062,47776374.00,29285815.02,0.072013,0.062059,0.1632,12.64,7.60,10606
Site_039,45869924.00,32713068.53,0.063419,0.055271,0.1652,11.03,6.38,10942
Site_029,36624624.95,25178099.21,0.070733,0.061540,0.1738,11.38,8.34,6328
Site_048,35300805.50,22974032.63,0.070794,0.058986,0.2443,12.79,6.48,7422
Site_033,34584326.00,21128499.43,0.067312,0.055654,0.2686,11.83,6.01,7632
Site_055,33637967.00,23180810.31,0.065275,0.060032,0.1135,11.89,6.79,6358
Site_064,31287314.00,18067716.58,0.070059,0.064559,0.2510,11.91,6.37,7304
Site_047,29318397.00,19254913.15,0.062190,0.052251,0.2528,10.92,4.55,6890
Site_041,27431481.00,20459978.00,0.070181,0.066308,0.1411,11.25,6.86,6390
Site_025,26173905.00,17219266.19,0.068949,0.060262,0.3707,10.75,5.91,6137
Site_017,25381920.00,12482378.47,0.065027,0.052906,0.3076,11.69,6.94,6057
Site_053,25300302.00,19134511.01,0.070324,0.062308,0.3052,12.76,6.40,5333
Site_046,24570398.00,19097654.15,0.066276,0.061777,0.0989,11.05,7.23,5189
Site_043,22962778.98,14288401.94,0.064863,0.056565,0.1443,10.88,5.03,5691
Site_036,19309254.00,13655230.02,0.066963,0.058961,0.2407,11.01,6.78,3599
Site_101,18355514.80,25248744.68,0.080752,0.177174,0.5359,13.24,33.32,28785
Site_015,17128063.00,9744784.26,0.064461,0.048056,0.3746,10.90,5.20,4789
Site_050,15170791.00,12499945.78,1.516254,1.195195,0.3617,11.62,7.82,2037
Site_045,14946936.00,10445127.48,0.068403,0.057410,0.2666,12.79,6.74,3277
Site_034,14851572.00,9277920.89,0.066376,0.056005,0.1491,11.48,7.46,3597
Site_040,14528925.00,11620846.32,0.069496,0.069807,0.1972,11.23,8.14,2757
Site_066,14416513.00,7901652.15,0.085373,0.076689,0.5531,11.95,5.58,1798
Site_018,14347618.00,9869604.85,0.071283,0.063422,0.1557,12.84,6.26,3248
Site_060,14099096.00,11512140.50,0.072058,0.067617,0.1594,10.87,4.66,2498
Site_073,12404372.00,10376339.35,0.066808,0.063559,0.0687,10.69,8.28,2251
Site_098,12135802.58,11071320.68,12273157470.485428,360474101059.978000,0.5358,14.63,4.78,15312
Site_056,11337759.00,7934372.38,0.070453,0.057676,0.2408,10.84,4.25,3150
Site_021,11099769.00,5938335.58,0.064931,0.047428,0.7641,10.58,0.00,2306
Site_032,10410205.00,6789393.59,0.074085,0.056123,0.5982,11.87,0.99,2624
Site_082,10087955.31,6149552.15,0.059841,0.041369,0.3595,11.74,6.70,2410
Site_078,8963275.00,6626240.89,0.063719,0.056393,0.3883,10.90,7.61,2269
Site_044,8333781.00,6305785.68,0.070024,0.063491,0.2617,11.14,6.47,1920
Site_075,7631912.00,4289950.69,0.060898,0.043006,0.7769,11.00,4.28,2311
Site_016,7374336.00,4633387.27,0.065356,0.053651,0.7158,11.02,0.00,1847
Site_005,7300268.61,2832481.17,0.295311,0.243140,0.9345,14.00,14.31,133907
Site_054,6475769.00,4075713.58,0.066288,0.053313,0.5098,12.10,4.69,1157
Site_013,5901837.00,2745620.66,0.064416,0.042066,0.3371,10.19,4.42,1574
Site_079,5679402.00,4106455.43,0.063819,0.057175,0.1217,10.93,8.47,419
Site_026,5492076.00,4947846.04,0.086748,0.080261,0.1764,11.48,3.22,1805
Site_068,5157462.00,3251919.35,0.061885,0.050969,0.4725,10.63,6.23,458
Site_037,5018832.00,3635940.04,0.066567,0.060021,0.1430,10.67,7.20,395
Site_080,4787763.00,4227856.32,0.066873,0.067287,0.1455,10.94,9.13,1110
Site_028,4706885.00,3272556.94,0.077096,0.063617,0.4306,12.55,5.33,1159
Site_020,3869750.00,3314462.71,0.078142,0.069189,0.6051,10.90,4.98,478
Site_097,3730198.00,3012700.15,0.093192,0.084875,0.3941,11.03,3.99,776
Site_030,3198977.00,3299814.99,0.077567,0.081726,0.0548,10.94,4.63,790
Site_094,3170770.00,2167439.37,0.089980,0.074027,0.1627,11.94,5.11,668
Site_024,2943027.00,1167838.04,0.071026,0.059055,0.6676,11.94,0.00,553
Site_063,2254324.00,1354286.65,0.083535,0.101134,0.8201,12.01,2.52,349
Site_065,1864722.00,1594834.66,0.080189,0.069913,0.1974,11.75,2.21,492
Site_007,1188536.55,991825.32,994.255325,5628.165625,0.6594,10.65,13.58,20390
Site_087,1146706.00,1849207.68,0.038612,0.040937,1.0868,13.27,0.00,1200
Site_022,1146528.00,683966.78,0.090065,0.067575,0.2441,11.50,1.94,305
Site_088,1018080.13,877612.70,423848482.873425,12985545210.159569,4.2315,10.84,9.01,191783
Site_008,974955.60,522902.21,0.097298,0.085958,1.2263,11.55,0.00,5476
Site_093,736597.50,851085.47,0.082069,0.013900,0.4684,12.80,0.00,1421
Site_086,661665.00,437305.75,0.098668,0.050363,0.6121,11.75,0.07,675
Site_096,650244.00,741519.49,0.092808,0.016427,1.0013,14.06,0.00,1149
Site_095,502824.51,525644.52,0.084224,-0.031695,0.3544,12.12,0.00,1744
Site_077,437375.00,376806.44,0.096522,0.085494,1.2763,11.79,0.00,332
Site_089,386794.00,374906.01,0.066195,0.119599,0.4117,12.42,0.00,334
Site_001,367372.00,312476.72,0.160071,0.149420,1.9207,10.33,29.75,964
Site_083,304171.95,199038.65,0.110111,-0.013843,1.6399,15.27,15.52,2340
Site_074,292245.00,-68179.42,0.281476,0.121366,2.4971,10.84,0.00,12
Site_010,195359.00,23069.74,2.525223,4.139268,1.4085,1.00,0.00,9
Site_002,182708.00,149187.99,0.074079,0.141805,1.0295,9.35,35.90,416
Site_100,172555.00,197573.94,0.146564,0.197572,1.1901,14.38,1.97,304
Site_003,151903.00,122820.90,0.131259,0.120258,0.3665,5.71,0.00,714
Site_091,127568.66,207717.10,0.034336,0.036655,1.6620,9.38,26.50,3489
Site_084,90765.76,32475.60,0.165548,0.069417,0.6493,6.66,0.00,5136
Site_076,45900.00,51466.43,0.089016,0.053298,0.3989,9.84,0.00,83
Site_004,19881.55,6509.21,0.362136,0.208346,3.2391,9.37,16.40,880
Site_090,16094.00,14911.02,0.223832,0.139539,0.9346,12.00,10.36,289
Site_006,10234.70,10229.44,2.509064,3.008013,0.9747,1.00,6941.29,5
Site_035,6115.00,-10703.35,0.030558,-0.036286,0.1030,11.96,0.58,15
Site_069,5070.00,-10032.21,0.029603,-0.041498,0.0970,11.99,0.53,14
Site_070,5050.00,5066.67,0.042769,0.042851,0.2589,11.61,0.67,21
Site_072,4724.00,4727.54,0.023934,0.023994,0.1584,3.31,0.26,72
Site_067,4575.00,4434.04,0.020286,0.019743,0.1911,3.15,0.30,78
Site_051,4298.00,4222.82,0.023057,0.022737,0.1931,2.37,0.27,72
Site_031,4000.00,-3722.68,0.050647,-0.020623,0.3813,11.91,0.57,15
Site_052,3475.00,828.61,0.033672,-0.053345,9.0254,10.62,0.49,26
Site_009,2833.05,18183.45,0.082492,0.293475,0.2833,5.15,0.00,21
Site_081,2485.00,-7241.05,0.033959,-0.078121,0.3094,11.23,0.34,9
Site_042,2430.00,14638.73,0.030048,0.031377,0.0720,10.41,0.16,42
Site_011,2400.00,2472.77,0.049073,0.050487,0.1272,13.83,0.21,10
Site_061,1250.00,0.00,0.074801,-0.018278,0.7924,12.71,0.19,12
Site_099,1250.00,0.00,0.010736,-0.091521,10.1932,11.07,0.43,11
Site_058,1115.00,-334.05,0.004171,-0.001067,0.5702,1.00,1.53,13
Site_019,899.00,899.29,0.014963,0.014960,0.1020,12.28,0.47,13
Site_057,890.00,2460.58,0.064666,0.062672,0.6263,10.65,0.24,8
Site_071,325.00,-2854.71,0.011153,-0.092789,10.2291,1.00,0.12,10
Site_023,275.00,-7054.30,0.038983,-1.000000,100.0000,11.83,0.75,1
Site_014,25.00,-476.26,0.052493,-1.000000,100.0000,11.65,0.04,1
